title,company,location,description,description_length
Ingénieur en Sécurité Incendie - Casablanca,EXPERT EYE ENGINEERING,Casablanca-Mohammedia,"Nous sommes à la recherche d'un  Ingénieur en Sécurité Incendie. Missions principales Réaliser les études de sécurité incendie pour projets industriels, tertiaires et infrastructures. Établir les scénarios d’incendie et dimensionner les systèmes de détection, extinction et désenfumage. Rédiger les dossiers techniques (APS, APD, DCE) intégrant les prescriptions incendie. Vérifier la conformité aux normes NFPA, FM Global, APSAD, et aux réglementations marocaines. Assurer la coordination avec les autres disciplines (électricité, GC, HVAC).",542
Projeteur en Charpente Métallique - Casablanca,EXPERT EYE ENGINEERING,Casablanca-Mohammedia,"Nous sommes à la recherche d'un  Projeteur en Charpente Métallique. Missions principales Réaliser les plans d’ensemble et de détail en charpente métallique. Préparer les plans de fabrication et de montage. Assurer la compatibilité des plans avec les autres corps d’état (GC, mécanique, fluides). Collaborer étroitement avec les ingénieurs structures pour intégrer les notes de calcul. Vérifier la conformité aux normes de dessin industriel et aux standards de sécurité.",469
Chef de Projet Génie Civil - Casablanca,EXPERT EYE ENGINEERING,Casablanca-Mohammedia,"Nous sommes à la recherche d'un  Chef de Projet Génie Civil. Missions : Superviser les études et travaux de génie civil (bâtiments, infrastructures industrielles, ouvrages spéciaux). Assurer la gestion contractuelle et technique du lot GC. Coordonner les interfaces entre disciplines (structure, charpente métallique, fluides, électricité). Mettre en place et suivre les contrôles qualité et HSE. Assurer le suivi des chantiers et la validation des attachements/métrés.",469
Chef de Projet Mécanique - Casablanca,EXPERT EYE ENGINEERING,Casablanca-Mohammedia,"Nous sommes à la recherche d'un  Chef de Projet Mécanique. Missions : Piloter les études et travaux mécaniques sur des projets industriels (mines, pétrochimie, énergie, infrastructures). Assurer la coordination entre les équipes internes (ingénieurs, projeteurs, techniciens) et les sous-traitants. Élaborer et suivre le planning des livrables. Garantir le respect des normes de sécurité, qualité et environnement. Animer les réunions de coordination et rédiger les comptes rendus. Suivre le budget du lot mécanique et établir les reportings périodiques au client.",564
Ingénieur Spécialisé en Instrumentation et Systèmes de Contrôle - Casablanca,EXPERT EYE ENGINEERING,Casablanca-Mohammedia,"Nous sommes à la recherche d'un  Ingénieur Spécialisé en Instrumentation et Systèmes de Contrôle. Rattaché au pôle ingénierie, l’ingénieur interviendra sur des projets industriels et énergétiques, notamment durant les phases d’études et de conception : Réalisation des études d’ingénierie en instrumentation et contrôle-commande Élaboration des philosophies de contrôle, architectures systèmes et listes d’instruments Définition des instruments de mesure (pression, débit, niveau, température, analyse) Rédaction des spécifications techniques, datasheets et notes de calcul Développement des schémas de boucles, P&ID, interconnexions et armoires de contrôle Participation aux revues...",685
Contrôleur de Gestion - Casablanca,GROUPE MCE,Casablanca-Mohammedia,"Dans le cadre de son développement, nous recherchons un Contrôleur de Gestion ayant une expérience confirmée dans le secteur de l’intérim. Missions principales : Suivre et analyser les performances financières Élaborer et suivre les budgets et prévisions Mettre en place des outils de contrôle et de reporting Analyser les écarts et proposer des actions correctives Accompagner la prise de décision stratégique",410
Agent SIAP  - Casablanca,GROUPE MCE,Casablanca-Mohammedia,Nous sommes à la recherche d'un  Agent SIAP. Missions principales : Assurer la sécurité des personnes et des biens sur le site Veiller au respect des consignes de sécurité incendie Prévenir les risques et intervenir en cas d’incident Contrôler l’accès aux locaux et gérer les entrées/sorties Assister et guider le public en cas d’urgence,337
Chef d´Équipe - Casablanca,COLORADO,Casablanca-Mohammedia,"Nou sommes à la recherche d'un  Chef d'Équipe. Rattaché au pôle industriel et technique,   vos missions sont les suivantes : Exécuter les programmes de production ; Respecter les processus en vigueur ; Contrôler les produits conditionnés avant leur transfert au magasin produits finis ; Jouer un rôle actif dans la lutte contre les incendies; Gérer des équipes opérationnelles ; Organiser les postes de travail.",411
Assistante Administrative - Casablanca,,Casablanca-Mohammedia,"Une entreprise leader dans son secteur, recrute une  Assistante Administrative à Casablanca . Vos responsabilités sont les suivantes : Assurer l'accueil physique et téléphonique des interlocuteurs internes et externes; Assurer les prises de rendez-vous; Traiter le courrier postal et électronique ainsi que les appels téléphoniques; Suivre la circulation des parapheurs; Gérer les agendas électroniques et contrôler les échéances; Saisir, mettre en forme des documents divers (courriers, mails, rapports ….), les reproduire et les diffuser; Répondre aux demandes d'informations des autres services et de l'extérieur; Organiser les réunions et leurs logistiques, rédiger les relevés de décisions;...",698
Téléconseiller en Réception d’Appels - Casablanca,TECTRA CASA TERTIAIRE – RECRUTEMENT,Casablanca-Mohammedia,"Offre d’emploi : Téléconseiller en Réception d’Appels (H/F). Localisation : Sidi Maârouf – Casablanca TECTRA recrute des Téléconseillers en réception d’appels pour le compte de son client basé à Casablanca. Ce poste constitue une opportunité idéale pour les profils débutants souhaitant intégrer le monde professionnel et développer une première expérience en relation client. Une formation rémunérée est assurée au démarrage afin de vous accompagner dans la prise de poste. Vous serez formé(e) aux outils, aux procédures internes ainsi qu’aux techniques de gestion des appels. Missions principales : Réception des appels entrants Ouverture et suivi des dossiers clients Traitement des...",688
Area Manager – Gamme Ville (Afrique) - Afrique,AMANYS PHARMA,Rabat-Salé-Kénitra & International,"Amanys Pharma recrute  Area Manager – Gamme Ville (Afrique). Rattachement : Business Development Lead – AMEA Responsabilités clés 1. Développement stratégique & commercial : Définir et déployer la stratégie commerciale et marketing Identifier et concrétiser de nouvelles opportunités de croissance (produits, marchés, canaux). Contribuer à la stratégie d’accès au marché et au développement du portefeuille. 2. Gestion des partenaires & distribution Développer, structurer et piloter un réseau de distributeurs et partenaires locaux. Superviser les agences de promotion et assurer un suivi rigoureux des plans d’activation terrain. Négocier les accords commerciaux...",667
Agent Tôlerie - Nouaceur,GENERAL PRIVATE INTERIM,Casablanca-Mohammedia,"Nous sommes une société d’intérim à la recherche, pour le compte de notre client opérant dans le secteur industriel, des Agents Tôlerie . Missions principales : Réaliser des opérations de découpe, pliage et assemblage de pièces métalliques Assurer la préparation et le façonnage des éléments en tôle Lire et interpréter les plans techniques Contrôler la qualité des pièces produites Respecter les consignes de sécurité et les procédures de production",450
Agent Suivi GPS - Ait Melloul,VETCAM,Agadir,"Dans le cadre du renforcement de notre équipe transport, nous recrutons un(e) Agent de Suivi GPS chargé(e) d’assurer le suivi en temps réel de notre flotte de camions. Vos principales missions seront : Assurer le suivi en temps réel des véhicules via système GPS Contrôler les trajets, arrêts, retards et anomalies Identifier les écarts (déviation, arrêt non autorisé, vitesse excessive) Alerter immédiatement le responsable exploitation en cas de problème Établir des rapports journaliers et hebdomadaires Analyser les km parcourus, km à vide et temps d’arrêt Participer à l’optimisation des tournées et de la productivité Veiller au respect des consignes par les chauffeurs",675
Superviseur Maintenance et B to B - Mohammedia avec Déplacements Fréquents,,Casablanca-Mohammedia,"Entreprise spécialisée dans la distribution des produits pétroliers, en plein développement de ses activités, recherche un  Superviseur Maintenance et B to B . Rattaché à la Direction Technique, vous avez en charge la disponibilité, la conformité réglementaire et la sécurité des équipements des stations-service, points de ventes et centres d’intérêt de l’entreprise afin d’assurer la continuité d’exploitation et la satisfaction clients. Vous aurez également pour mission : les prés visites aux chantiers et examiner les besoins clients pour estimation (objectif d'optimisation). les formations des gérants et partenaires sur l'exploitation des moyens de service. déploiement des...",684
Agent Facturation - Casablanca,TECTRA RECRUTEMENT MAROC,Casablanca-Mohammedia,Nous sommes à la recherche d'une Agente Facturation pour notre client basé à Casablanca.,88
Superviseur Projets Stations - Mohammedia avec Déplacements Fréquents,,Casablanca-Mohammedia,"Entreprise spécialisée dans la distribution des produits pétroliers, en plein développement de ses activités, recherche un  Superviseur Projets Stations. Vous avez en charge les projets de construction et de rénovation du réseau des stations services, points de ventes et centres d’intérêt de l'entreprise depuis les phases de conception, de budgétisation, d’autorisation, de planification et de construction jusqu’à la mise en service. Vous aurez également pour missions : la Réalisation des projets conformément aux besoins spécifiés par le client interne tout en respectant les procédures et standards «  normes, réglementations en vigueur, respect des aspects et contraintes liées à...",689
Chargé Clients en Compte - Casablanca,BRICOMA,Casablanca-Mohammedia,Nous sommes à la recherche d'un  Chargé Clients en Compte. Missions : Le Chargé clients en compte gère toutes les interactions entre Bricoma et les clients grands comptes ou les clients particuliers. Il s’agit d’un poste sensible ayant plusieurs enjeux : Gérer et fructifier le portefeuille des clients en compte et particuliers Fidéliser les plus grands clients de Bricoma Suivre rigoureusement les paiements pour éviter des dépassements de plafonds Gérer le recouvrement sans altérer la relation client Prospecter et acquérir de nouveaux clients.,548
Directeur Technique - Meknès,SOMACOS,Agadir - Béni Mellal-Khénifra - Casablanca-Mohammedia - Dakhla -...,"Description du poste :  Directeur Technique H Secteur : Plasturgie – Irrigation (Goutte-à-goutte et accessoires) Dans le cadre du renforcement de notre organisation,  une société industrielle spécialisée dans la fabrication de tuyaux de goutte-à-goutte et d’accessoires d’irrigation , recrute un  Directeur d’Usine / Directeur Technique . Missions principales : Rattaché à la Direction Générale, vous aurez pour principales responsabilités : Assurer la  direction globale de l’usine  (production, maintenance, qualité, sécurité) Définir et mettre en œuvre la  stratégie technique et industrielle Planifier, organiser et optimiser la  production (...",649
Responsable Import /Export - Meknès,SOMACOS,Agadir - Béni Mellal-Khénifra - Casablanca-Mohammedia - Dakhla -...,"N/B : Il faut que le candidat réside à Meknès  Dans le cadre de notre développement, nous recrutons une Responsable Import /Export à Meknès pour assurer la gestion administrative des dossiers import/export et faire le suivi avec l'ensemble de nos interlocuteurs (Compagnies de transport, Douanes, Transitaires, etc.) Missions : Gérer les documents douaniers et assurer le respect des réglementations locales et internationales. Coordonner le transport et la logistique des marchandises. Négocier avec les fournisseurs et les prestataires de services logistiques. Maintenir des relations efficaces avec les clients et les partenaires commerciaux à l'international. Optimiser les processus pour garantir l'...",707
Directeur D´Usine Technique - Meknès,SOMACOS,Agadir - Béni Mellal-Khénifra - Casablanca-Mohammedia - Dakhla -...,"Directeur d’Usine / Directeur Technique (H/F) Secteur : Plasturgie – Irrigation (Goutte-à-goutte et accessoires) Dans le cadre du renforcement de notre organisation, une société industrielle spécialisée dans la fabrication de tuyaux de goutte-à-goutte et d’accessoires d’irrigation , recrute un Directeur d’Usine / Directeur Technique . Missions principales : Rattaché à la Direction Générale, vous aurez pour principales responsabilités : Assurer la direction globale de l’usine (production, maintenance, qualité, sécurité) Définir et mettre en œuvre la stratégie technique et industrielle Planifier, organiser et optimiser la production (extrusion, injection, recyclage...",674
Gestionnaire de Stock - Meknès,SOMACOS,Agadir - Béni Mellal-Khénifra - Casablanca-Mohammedia - Dakhla -...,"Nous sommes à la recherche des  Gestionnaires de Stock  pour assurer la gestion, le suivi et l’optimisation des stocks afin de garantir la disponibilité des produits tout en évitant les ruptures et les surstocks. Activités et responsabilités Gestion des stocks Réceptionner et contrôler les marchandises Enregistrer les entrées et sorties de stock Assurer le rangement et l’organisation de l’espace de stockage Réaliser les inventaires réguliers (tournants et annuels) Vérifier la conformité des livraisons Suivi et contrôle Mettre à jour les bases de données et logiciels de gestion de stock Surveiller les niveaux de stock et alerter en cas de seuil critique Identifier les...",678
Chef / Responsable Qualité - Meknès,SOMACOS,Agadir - Béni Mellal-Khénifra - Casablanca-Mohammedia - Dakhla -...,"Nous recrutons un  Chef / Responsable Qualité . Missions principales Mettre en place, maintenir et améliorer le Système de Management de la Qualité (produit & système). Déployer et faire vivre la culture qualité au sein de l’usine. Garantir la conformité des produits, des processus et du système qualité. Piloter l’amélioration continue et la prévention des non-conformités. Responsabilités et activités Système Qualité Contrôle et conformité des produits Gestion des non-conformités et réclamations Audits Moyens de mesure et laboratoire Qualification et validation Formation et sensibilisation Indicateurs et pilotage Collaboration interne Compétences requises Techniques Systèmes de...",689
Chef d´Equipe Extrudeur - Meknès,SOMACOS,Agadir - Béni Mellal-Khénifra - Casablanca-Mohammedia - Dakhla -...,"Nous recrutons un  Chef d’Équipe Extrudeur. Description du poste Vous interviendrez dans une industrie en production continue en 3X8. Durant votre poste, Vous affecterez les tâches à effectuer pendant le poste au sein de l'équipe. Vous veillerez à la bonne réalisation des productions selon les besoins clients et les standards sécurité et qualité et serez vous-même œuvrant (assurer les changements de série, montage démontage des filières et des conformateurs, assurer la maintenance première niveau suivre et préparation mélange la mise en place des 5S la rédaction des rapport production contrôles qualité ...). Vous serez l'interlocuteur principal entre votre équipe et le Responsable de Production :...",708
Customer Service H/F Anglophone - Mohammedia,TECTRA,Casablanca-Mohammedia,"Tectra recrute pour son client sur Mohammedia un Customer Service H/F Anglophone . Vous aurez pour missions : Élaboration et traitement des bons de commande Gestion de stock  Suivi des commandes d'achat -Préparation et envoi des offres commerciales Coordination avec les transitaires , douaniers et transporteurs Traitement des réclamations clients  - Contrat : CDI + avantages sociaux - Rémunération : 7000 dh - 8000 dh net",424
Assistante Marketing / Designer - Meknès,SOMACOS,Agadir - Béni Mellal-Khénifra - Casablanca-Mohammedia - Dakhla -...,"Nous sommes à la recherche d'une  Assistante Marketing / Designer. Missions principales Élaborer et mettre en œuvre des stratégies marketing Gérer les campagnes de communication (digitales et/ou offline) Analyser les performances (KPI, ROI, rapports) Participer à la création de contenus (réseaux sociaux, emailing, désigne , supports commerciaux) Réaliser des études de marché et de veille concurrentielle",406
Electricien Industriel - Mohammedia,TECTRA,Casablanca-Mohammedia,Tectra recrute un Electricien Industriel pour son client sur Mohammedia . Cantine et transport assuré  Contrat d'intérim+avantages sociaux Rémunération : entre 4000 dh et 5000 dh net,182
Technicien Régleur de l´Injection - Meknès,SOMACOS,Agadir - Béni Mellal-Khénifra - Casablanca-Mohammedia - Dakhla -...,"Nous recrutons un  Technicien Régleur de l'Injection. Description du poste Vous interviendrez dans une industrie en production continue en 3X8. Durant votre poste, Vous affecterez les tâches à effectuer pendant le poste au sein de l'équipe. Vous veillerez à la bonne réalisation des productions selon les besoins clients et les standards sécurité et qualité et serez vous-même œuvrant (assurer les changements de série, montage démontage des filières et des conformateurs, assurer la maintenance première niveau suivre et préparation mélange la mise en place des 5S la rédaction des rapport production contrôles qualité ...). Vous serez l'interlocuteur principal entre votre équipe et le Responsable de Production :...",718
Chef d´Injection - Meknès,SOMACOS,Agadir - Béni Mellal-Khénifra - Casablanca-Mohammedia - Dakhla -...,"Nous recrutons un  Chef d'Injection. Missions principales Pilotage de la production injection Maîtrise du process injection Qualité & performance Management des équipes Sécurité, hygiène et organisation Maintenance et équipements Responsabilités Performance globale de l’atelier injection Qualité et conformité des pièces produites Sécurité des personnes et des équipements Disponibilité des machines Niveau de compétence des équipes injection",443
Soudeur / Industrie - Meknès,SOMACOS,Agadir - Béni Mellal-Khénifra - Casablanca-Mohammedia - Dakhla -...,"Nous sommes à la recherche d’un soudeur motivé et rigoureux pour rejoindre notre équipe. Vous serez responsable d’effectuer des travaux de soudure selon les plans, les normes de qualité et les consignes de sécurité en vigueur.",226
Technicien de Maintenance Industrielle - Meknès,SOMACOS,Agadir - Béni Mellal-Khénifra - Casablanca-Mohammedia - Dakhla -...,"On est à la recherche des Techniciens de Maintenance Industrielle  à Meknès, expérimenté en maintenance industriel et multi techniques. Les missions ; Effectuer l’entretien courant du parc machine et des infrastructures. réaliser les travaux de maintenance préventive en fonction du planning établi. effectuer les réglages machines (demande production ou qualité). intervenir immédiatement sur tout dysfonctionnement machine (dépannage). veiller à la bonne marche des équipements, détecter les anomalies afin de limiter les temps d’arrêt de production et prévenir de tout risque de casse, de panne ou d’accident. valider le fonctionnement de la machine et assurer la propreté du poste après...",693
Technicien Supérieur Laboratoire - Aïn El Aouda,AMANYS PHARMA,Rabat-Salé-Kénitra,"Nous sommes à la recherche d'un  Technicien Supérieur Laboratoire. Votre mission Rattaché(e) au Responsable Contrôle Qualité, vous intervenez dans le cadre de projets spécifiques (transfert analytique, qualification d’équipements, validation de méthodes, lancement de nouveaux produits, amélioration continue). Votre rôle est clé pour garantir la fiabilité des analyses et la conformité réglementaire des activités laboratoire. Réalisation des analyses et activités projet Gestion des anomalies et amélioration continue Support technique & équipements Qualité & conformité réglementaire",586
Technicien Maintenance - Ain Aouda,AMANYS PHARMA,Rabat-Salé-Kénitra,"Nous sommes à la recherche d'un  Technicien Maintenance. Missions : Assurer la maintenance préventive et corrective des équipements industriels (production, utilités, conditionnement, etc.) Diagnostiquer les pannes et intervenir rapidement afin de minimiser les arrêts de production Participer à l’installation, au réglage et à la mise en service des nouveaux équipements Contribuer à l’amélioration continue des installations et proposer des actions d’optimisation Renseigner les interventions dans le système de gestion de maintenance (GMAO) Veiller au respect des normes de sécurité, d’hygiène et des BPF Participer aux qualifications techniques et aux audits internes si...",677
Pâtissier Viennoiserie et Gâteaux Dessert - Casablanca,TECTRA RECRUTEMENT MAROC,Casablanca-Mohammedia,"L’Humain est au cœur de notre métier ! TECTRA est aujourd’hui leader du conseil en Ressources Humaines au Maroc. Avec plus de 1000 clients actifs multisectoriels et une force de réseaux de 27 agences partout dans le Royaume, Tectra vous accompagne dans votre recherche d’emploi.  Pour l’un de ses clients, dans (la pâtisserie), TECTRA recherche un(e) Pâtissier , à Casablanca. Missions Principales : Maîtriser les techniques de cuisson et de température pour obtenir des résultats optimaux Préparer et réaliser différentes pâtisseries et desserts selon des recettes traditionnelles ou innovantes Décorer les pâtisseries avec des glaçages, des motifs et des garnitures attrayantes",679
Réceptionniste Caissière - Casablanca,TECTRA RECRUTEMENT MAROC,Casablanca-Mohammedia,"L’Humain est au cœur de notre métier ! TECTRA est aujourd’hui leader du conseil en Ressources Humaines au Maroc. Avec plus de 1000 clients actifs multisectoriels et une force de réseaux de 27 agences partout dans le Royaume, Tectra vous accompagne dans votre recherche d’emploi.  Nous sommes à la recherche d'une  Réceptionniste Caissière. Missions Principales : Accueil & Service :  Accueil courtois, gestion du standard téléphonique, réponse aux demandes clients. Réception :  Check-in (arrivée), check-out (départ), remise des clés, gestion des réservations. Facturation/Caisse :  Enregistrement des consommations/services, édition des factures, encaissement (...",666
Technicien Informaticien - Taliouine - Askaoun,AYA GOLD AND SILVER,Agadir & Marrakech-Safi,"Nous sommes à la recherche d'un  Technicien Informaticien. Mission : Assurer l’installation et la garantie de fonctionnement des équipements informatiques et téléphoniques (matériels et logiciels) liés au poste de travail Responsabilités : Préparer et installer le poste de travail ; Assurer la maintenance préventive et corrective des ordinateurs ; Contribuer à la gestion du parc ; Assure une veille technologique sur les ordinateurs et les logiciels ; Assurer le support auprès des utilisateurs ; Contribuer à la disponibilité, confidentialité et l’intégrité du système d’information ; Principales activités : Installation initiale des équipements informatiques et téléphoniques...",684
Ingénieur en Génie Électrique – Bureau D’Études Techniques (BET) - Rabat,JOB CONNECT,Rabat-Salé-Kénitra,"Nous recrutons pour le compte de notre client basé à Rabat, Un Ingénieur en Génie Électrique – Bureau d’Études Techniques (BET) dans le secteur BTP / Ingénierie Missions principales : Réaliser des études techniques détaillées (APS, APD, EXE) en génie électrique, avec un positionnement clair dans un BET. Maîtriser les normes obligatoires : NF C 15-100, IEC 60364, normes incendie, adaptées aux projets de bâtiments, hôpitaux, data centers et industries. Utiliser de manière indispensable les logiciels BET : Caneco BT, Caneco EP, Dialux, Relux, Autocad, Revit, Excel/MEP. Produire des notes de calcul rigoureuses : bilans de puissance, courants de court-circuit, dimensionnement des câbles et disjoncteurs....",710
Esthéticienne - M´diq,TECTRA TANGER – RECRUTEMENT,Tanger-Tétouan-Al Hoceïma,"L’Humain est au cœur de notre métier ! TECTRA est aujourd’hui leader du conseil en Ressources Humaines au Maroc. Avec plus de 1000 clients actifs multisectoriels et une force de réseaux de 27 agences partout dans le Royaume, Tectra vous accompagne dans votre recherche d’emploi.  Pour l’un de ses clients, dans le secteur hôtellerie, TECTRA recherche une Esthéticienne , à M'diq. Missions Principales : Réalisation de modelages bien-être, soins du visage et du corps, soins des mains/pieds, et parfois des soins orientaux comme le hammam.   Accueil personnalisé, conseil expert en produits de beauté haut de gamme, et capacité à créer une atmosphère de détente absolue....",672
Agent HSE - Sidi Hajjaj,PLUS INTERIM,Settat,"Pour le compte de l’un de nos clients, nous recrutons un(e) Agent HSE pour un site basé à Sidi Hajjaj. Missions principales : Rattaché(e) à la direction, vous aurez pour principales responsabilités : Veiller au respect des consignes de sécurité au sein de l’entrepôt (circulation, port des EPI, signalisation) Contrôler les conditions de manutention et l’utilisation des équipements (chariots élévateurs, gerbeurs…) Assurer le suivi de l’état des équipements et signaler toute anomalie Vérifier la conformité du stockage (stabilité des charges, respect des hauteurs, organisation des rayonnages) Identifier les situations à risque et proposer des actions correctives Participer à la prévention...",696
Responsable Bureau d’Études et Méthodes – Industrie / BTP - Rabat,JOB CONNECT,Rabat-Salé-Kénitra,"Nous recrutons pour le compte de notre client basé à Mohammedia, Un(e) Responsable Bureau d’Études dans le secteur Industrie / Ingénierie / BTP (Bâtiment et Travaux Publics) Missions principales : Piloter et coordonner les activités du bureau d’études et méthodes. Optimiser les processus industriels (Lean management, amélioration continue) Définir les orientations techniques et assurer la veille technologique. Encadrer les équipes, planifier et suivre les projets techniques. Optimiser les processus industriels (Lean, amélioration continue). Apporter un support technique aux équipes commerciales. Réaliser des études de faisabilité et des chiffrages techniques. Suivre les indicateurs de performance et...",711
